"","region","DUMB","ARIMA","TBATS","holt","CSsplines","GRU_U","GRU_R","GRU_N","GRU_F_Measures","GRU_F","PT_U","PT_R","PT_N","PT_F_Measures","PT_F","RF_U","RF_R","RF_N","RF_F_Measures","RF_F"
"1","Alentejo",120.62095307933,116.036684419731,131.012417676322,126.613510307544,115.418527659204,80.0305930557216,74.7462131422334,71.1811083810948,74.4378260334777,51.903989321426,114.015056371067,92.8381578871743,98.582774905775,88.8334080674176,78.7021113435406,95.5034984086563,98.9110621746168,101.860588441354,102.98181029458,71.042575099516
"2","Algarve",121.982312691381,112.642473888123,101.922333879649,126.333452465316,104.208766550635,80.9944692475085,75.9006175575112,69.2072696618081,85.467461239045,73.9095483276581,109.887604487316,134.781661844582,131.495538007426,131.595264898227,120.122955954924,107.796149455106,108.422040509333,133.799146036825,128.641370799569,111.811750255401
"3","Regiao Autonoma Dos Acores",39.7071646186129,50.782998894111,45.1875310273139,48.6684204939136,52.3824076600643,51.8648328400499,52.826324360869,54.4085438416824,58.2572691877964,74.9198356084879,53.0005867406558,56.0139839591823,58.6806290291417,57.8160448079635,58.9316418255,63.2231704987853,97.8233324239923,90.323045179862,82.1487241899131,90.8599138736646
"4","Centro",139.78368083509,144.755950464088,153.68288318185,138.855790832216,117.564944466572,93.9407560855613,92.219549539656,76.1926416025925,82.6827476248663,60.0226129375011,150.56634683264,112.173895988541,117.414176748107,100.93177334314,88.9296924255319,110.28192316102,117.22218427237,121.31084608811,118.526939104592,77.9659739708381
"5","Area Metropolitana De Lisboa",166.628334771561,160.329284691877,161.93033027443,151.096287645557,121.319096412015,109.701314109981,109.531666878071,95.3825866066876,98.2108863244583,61.1858747512413,187.911357563267,156.54055552242,158.769544873036,151.204099171981,127.154344794625,120.291340021355,124.505930441576,156.131924363903,149.493908046775,115.596629842128
"6","Regiao Autonoma Da Madeira",66.388845916405,69.1061732681453,66.2619340784839,73.6872629718485,82.9516087307854,58.7895904955944,70.3676568121169,71.5966053848996,69.4251816801983,62.3532952204188,69.2201078956273,73.2884718152803,72.4924101995441,66.2214610838738,74.656155578883,64.3198038693206,75.1268624897824,78.6681097454731,78.136763319402,70.1082479625442
"7","Norte",170.095449241165,141.499286648442,153.728458049652,145.74079468602,132.121844488825,117.467228709285,129.630484009438,120.281567727702,121.853644256456,115.697983332266,250.186571543719,196.535307372689,190.57860731499,181.126178176522,146.46703121543,113.383665591766,125.883436109277,124.326504043275,114.682008016353,84.5110547101635
"8","global",117.886677307649,113.593264610645,116.246555452529,115.856502771774,103.709599424014,84.6841120776717,86.4603588999852,79.7500461723524,84.3335737637568,71.4275913569998,133.541090204899,117.453147769981,118.287668725431,111.104032792732,99.2805618769192,96.3999358580014,106.842121202993,115.202880556972,110.658789110169,88.8423065306079
